factor_id,factor_name,ic_mean,ic_std,icir,category,status
1,alpha001,-0.013705931762601061,0.21175477643967175,-0.06472549046139621,volatility,fail
2,alpha002,-0.0042120923576395184,0.19606127198311085,-0.021483551111523735,price_volume,fail
3,alpha003,0.002671798176630891,0.18726423499972128,0.014267530458418115,price_volume,weak
4,alpha004,0.0866945981566551,0.06572075047817749,1.3191358517039753,price_volume,pass
5,alpha005,0.00648252787140224,0.14502123926246244,0.044700541137081495,reversal,weak
6,alpha006,0.0197746183519088,0.195173453680597,0.10131817610949352,price_volume,pass
7,alpha007,0.03080055571769882,0.20427966529124103,0.15077641562505276,price_volume,pass
8,alpha008,0.004629179963742807,0.22724107304579264,0.0203712291167097,price_volume,weak
9,alpha009,0.01180572791001559,0.22339408942247685,0.0528470916152527,reversal,pass
10,alpha010,-0.01021046878411878,0.22509398221899685,-0.045360914065596315,reversal,fail
11,alpha011,-0.0005794887819355479,0.21393941436358907,-0.00270865835385858,reversal,fail
12,alpha012,0.0033497985658205547,0.18408903442619243,0.018196621956663057,reversal,weak
13,alpha013,0.0018580620933319589,0.1590535989754759,0.011681987111894582,price_volume,weak
14,alpha014,0.0209948516102726,0.18873210120882697,0.11124155072613941,price_volume,pass
15,alpha015,-0.00827952267793082,0.18859522996279504,-0.04390101849110476,price_volume,fail
16,alpha016,0.005545532524710842,0.1583218560404875,0.03502695498524656,price_volume,weak
17,alpha017,0.0021590442567818178,0.20724643101168636,0.01041776326975721,price_volume,weak
18,alpha018,0.008648968828378754,0.14218324916283037,0.06082973120465004,volatility,pass
19,alpha019,0.005742231752134114,0.23990332325638175,0.023935607369629727,reversal,weak
20,alpha020,0.014465548892615377,0.23089060099978098,0.06265109463086849,price_volume,pass
21,alpha021,0.0028129858783198,0.062431281955348,0.0450573140614304,volatility,fail
22,alpha022,-0.002823749109882536,0.17852522549385244,-0.015817087484814703,volatility,fail
23,alpha023,0.01129929537198264,0.22144670691967636,0.05102489682125255,reversal,pass
24,alpha024,0.006251877768889116,0.22202275112531134,0.028158725793648545,reversal,weak
